Producto,Variedad,Precio Min.,Precio Max.,Precio Prom.,Fecha
ACELGA,ACELGA,3.0,4.0,3.38,01/01/2025
AJI,AJI AMARILLO SECO,15.0,16.0,15.5,01/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,3.0,3.5,3.25,01/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),3.0,4.0,3.38,01/01/2025
AJI,AJI SECO PANCA,14.5,16.0,15.38,01/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),1.67,2.22,1.99,01/01/2025
AJI,AJI PAPRIKA,13.0,15.0,14.0,01/01/2025
AJO,AJO PELADO,7.5,8.5,7.88,01/01/2025
AJO,AJO CRIOLLO O NAPURI,8.0,9.0,8.5,01/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,10.0,11.0,10.63,01/01/2025
ALBAHACA,ALBAHACA,3.08,3.85,3.47,01/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,5.5,6.5,6.19,01/01/2025
APIO,APIO,2.0,3.0,2.5,01/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),5.0,5.5,5.2,01/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,4.5,5.0,4.7,01/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4.0,5.6,5.0,01/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),0.67,1.33,0.93,01/01/2025
CAIGUA,CAIGUA (SELVA),2.0,2.33,2.17,01/01/2025
CALABAZA,CALABAZA (CRIOLLA/SERRANA),1.25,1.75,1.5,01/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.7,0.8,0.74,01/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.3,1.8,1.55,01/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,0.7,1.0,0.85,01/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,1.0,1.2,1.1,01/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),1.0,1.5,1.33,01/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.71,0.86,0.81,01/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),0.57,0.71,0.66,01/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),3.33,4.0,3.75,01/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,2.38,2.86,2.68,01/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,6.0,8.0,6.75,01/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),2.0,2.5,2.2,01/01/2025
FREJOL,FREJOL VERDE CANARIO,2.1,2.5,2.28,01/01/2025
HABA,HABA VERDE SERRANA,0.8,1.1,0.95,01/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),1.18,1.41,1.24,01/01/2025
HORTALIZAS CHINAS,JOLANTAU/ORGANICA,9.0,11.0,9.75,01/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,2.5,3.33,2.81,01/01/2025
HORTALIZAS CHINAS,PACCHOY,5.0,6.67,6.04,01/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),6.0,7.0,6.63,01/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,2.5,2.5,2.5,01/01/2025
HORTALIZAS CHINAS,BROCOLI,2.0,2.5,2.33,01/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),1.3,1.74,1.52,01/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),1.67,2.0,1.84,01/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,3.0,3.33,3.17,01/01/2025
LECHUGA,LECHUGA SERRANA SEDA,2.67,3.33,3.08,01/01/2025
LECHUGA,LECHUGA ROMANA/HIDROF./BLANCA/ROJA/ORG,1.33,1.67,1.46,01/01/2025
LENTEJA,LENTEJA-VERDE/CORRIENTE,2.5,3.0,2.83,01/01/2025
LENTEJA,LENTEJA-VERDE BOCONA/SARANDAJA,3.0,3.0,3.0,01/01/2025
LIMON,LIMON CITRICO CAJON,2.17,3.04,2.61,01/01/2025
LIMON,LIMON CITRICO BOLSA,1.89,2.67,2.25,01/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,2.1,2.5,2.28,01/01/2025
MAIZ,MARLO/CORONTA DE MAIZ MORADO,10.0,12.0,11.25,01/01/2025
NABO,NABO (CRIOLLO/SERRANO),2.0,2.5,2.3,01/01/2025
OREGANO,OREGANO (CRIOLLO/SERRANO),10.0,10.0,10.0,01/01/2025
OREGANO,OREGANO SECO,11.0,14.0,12.5,01/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),2.0,2.4,2.23,01/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),1.9,2.2,2.05,01/01/2025
PALLAR,PALLAR VERDE SERRUCHO/CACHITO,1.8,2.3,2.0,01/01/2025
PAPA,PAPA AMARILLA,2.0,2.2,2.1,01/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,0.8,1.0,0.89,01/01/2025
PAPA,PAPA COLOR/VALLE/OTROS,0.55,0.65,0.61,01/01/2025
PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.8,2.0,1.93,01/01/2025
PAPA,PAPA HUAMANTANGA,1.7,1.8,1.76,01/01/2025
PAPA,PAPA NEGRA ANDINA,1.0,1.2,1.11,01/01/2025
PAPA,PAPA PERUANITA (INJERTO),1.8,2.0,1.95,01/01/2025
PAPA,PAPA YUNGAY,0.8,1.0,0.89,01/01/2025
PAPA,PAPA UNICA,0.55,0.65,0.6,01/01/2025
PAPA,PAPA CANCHAN,0.5,0.6,0.56,01/01/2025
PEPINILLO,PEPINILLO,1.33,1.67,1.54,01/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),1.5,2.0,1.75,01/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,3.33,3.61,3.47,01/01/2025
PORO,PORO (CRIOLLO/SERRANO),0.88,1.15,0.99,01/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),2.67,4.0,3.5,01/01/2025
TOMATE,TOMATE CHERRY,4.0,5.0,4.43,01/01/2025
TOMATE,TOMATE ORGANICO,3.0,3.0,3.0,01/01/2025
TOMATE,TOMATE KATIA,2.5,2.95,2.78,01/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,2.5,3.5,3.05,01/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),2.0,2.5,2.3,01/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),0.45,0.73,0.59,01/01/2025
ZAPALLO,ZAPALLO ITALIANO,1.0,1.33,1.13,01/01/2025
ZAPALLO,ZAPALLO LOCHE,6.67,9.33,8.0,01/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),1.1,1.3,1.2,01/01/2025
OTROS PROD.AGRIC.,AJONJOLI,10.0,12.0,11.0,01/01/2025
OTROS PROD.AGRIC.,ACHIOTE,10.0,12.0,11.33,01/01/2025
OTROS PROD.AGRIC.,HIERBA LUISA,1.5,1.67,1.56,01/01/2025
OTROS PROD.AGRIC.,MANZANILLA,4.0,6.0,4.93,01/01/2025
OTROS PROD.AGRIC.,ANIS FRESCO/VERDE (CRIOLLA/SERRANA),7.5,7.5,7.5,01/01/2025
OTROS PROD.AGRIC.,ROMERO,9.0,10.0,9.67,01/01/2025
OTROS PROD.AGRIC.,TORONJIL,5.0,6.0,5.33,01/01/2025
OTROS PROD.AGRIC.,MENTA,7.5,7.5,7.5,01/01/2025
OTROS PROD.AGRIC.,HINOJO SIN FRUTO,2.86,2.86,2.86,01/01/2025
OTROS PROD.AGRIC.,CEDRON,7.0,7.5,7.33,01/01/2025
OTROS PROD.AGRIC.,ALFALFA,1.12,1.32,1.21,01/01/2025
OTROS PROD.AGRIC.,YACON,2.5,2.5,2.5,01/01/2025
OTROS PROD.AGRIC.,AGUAYMANTO,5.5,6.5,6.0,01/01/2025
OTROS PROD.AGRIC.,CHAMPI?ONES,4.0,5.0,4.75,01/01/2025
OTROS PROD.AGRIC.,ACEITUNA,18.0,24.0,21.0,01/01/2025
CARAMBOLA,CARAMBOLA,2.5,2.5,2.5,01/01/2025
DURAZNO,DURAZNO,3.5,4.0,3.75,01/01/2025
FRESA,FRESA ROJA,2.5,3.0,2.75,01/01/2025
GRANADILLA,GRANADILLA (SELVA),4.0,5.0,4.63,01/01/2025
PEPINO,PEPINO RAYADO O MELON,2.0,2.2,2.08,01/01/2025
PERA,PERA DE AGUA,6.0,7.0,6.38,01/01/2025
PLATANOS,PLATANOS SEDA,2.5,2.5,2.5,01/01/2025
PLATANOS,PLATANOS ISLA,3.0,3.0,3.0,01/01/2025
PLATANOS,PLATANOS BISCOCHITO,2.5,2.5,2.5,01/01/2025
PLATANOS,PLATANOS BELLACO,4.0,4.5,4.33,01/01/2025
PLATANOS,PLATANOS PALILLO,3.5,3.5,3.5,01/01/2025
UVA,UVA BORGO?A NEGRA,5.0,6.0,5.38,01/01/2025
UVA,UVA ITALIA,5.0,6.0,5.63,01/01/2025
MANGO,MANGO CRIOLLO PLANTA(COSTA),2.5,2.5,2.5,01/01/2025
MANGO,MANGO HADEN/HAYDE,2.5,2.5,2.5,01/01/2025
MANGO,MANGO KENT(COSTA),2.5,2.6,2.53,01/01/2025
MANGO,MANGO EDWARD PLANTA,2.5,2.5,2.5,01/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.0,3.5,3.33,01/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,2.0,2.5,2.3,01/01/2025
MANZANA,MANZANA ISRAEL,3.3,3.5,3.45,01/01/2025
MANZANA,MANZANA CHILENA ROJA,7.5,9.0,8.25,01/01/2025
MANZANA,MANZANA CHILENA VERDE,7.0,9.0,7.88,01/01/2025
MANZANA,MANZANA CHILENA FUJI,7.5,9.0,8.17,01/01/2025
MANZANA,MANZANA CHILENA ROYAL,7.5,9.0,8.13,01/01/2025
MANZANA,MANZANA GOLDEN,3.5,4.5,3.88,01/01/2025
MARACUYA,MARACUYA (COSTA),3.3,3.8,3.55,01/01/2025
TUNA,TUNA HUAROCHIRI,4.0,5.0,4.63,01/01/2025
SANDIA,SANDIA,1.3,1.5,1.4,01/01/2025
COCONA,COCONA SELVA,2.5,2.5,2.5,01/01/2025
NARANJA,NARANJA VALENCIA (SELVA),1.23,1.45,1.33,01/01/2025
NARANJA,NARANJA HUANDO,5.0,6.0,5.5,01/01/2025
PI?A,PI?A HAWAYANA,2.3,2.5,2.4,01/01/2025
PI?A,PI?A GOLDEN,1.94,2.22,2.07,01/01/2025
PALTA,PALTA FUERTE (COSTA),5.0,7.0,5.88,01/01/2025
PAPAYA,PAPAYA SELVA,1.25,1.38,1.28,01/01/2025
MELOCOTON,MELOCOTON,6.0,8.0,6.75,01/01/2025
MEMBRILLO,MEMBRILLO,3.5,4.5,4.0,01/01/2025
OTRAS FRUTAS,TAMARINDO(CON CASCARA)COSTA,5.5,7.0,6.13,01/01/2025
OTRAS FRUTAS,GRANADA (COSTA),5.0,6.0,5.5,01/01/2025
OTRAS FRUTAS,LIMA DULCE (COSTA),1.8,2.0,1.9,01/01/2025
OTRAS FRUTAS,LUCUMA,6.0,7.0,6.5,01/01/2025
OTRAS FRUTAS,CIRUELA,4.0,5.0,4.67,01/01/2025
OTRAS FRUTAS,PITAHAYA,6.0,9.0,7.5,01/01/2025
OTRAS FRUTAS,PACAY,5.0,7.0,6.0,01/01/2025
OTRAS FRUTAS,ARANDANOS,8.0,10.0,9.0,01/01/2025
COCO,COCO(COSTA/SELVA),1.67,1.67,1.67,01/01/2025
CHIRIMOYA,CHIRIMOYA CUMBE,6.0,7.0,6.5,01/01/2025
MANDARINA,MANDARINA,4.3,4.8,4.53,01/01/2025
MELON,MELON,2.5,2.8,2.6,01/01/2025
GUANABANA,GUANABANA,6.0,7.0,6.5,01/01/2025
ACELGA,ACELGA,2.5,3.0,2.75,02/01/2025
AJI,AJI AMARILLO SECO,15.0,16.0,15.63,02/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,2.6,3.2,2.9,02/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),3.0,4.0,3.38,02/01/2025
AJI,AJI SECO PANCA,14.5,16.0,15.38,02/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),1.67,2.22,1.88,02/01/2025
AJI,AJI PAPRIKA,13.0,15.0,14.0,02/01/2025
AJO,AJO PELADO,7.5,8.0,7.75,02/01/2025
AJO,AJO CRIOLLO O NAPURI,8.5,9.0,8.75,02/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,10.0,11.0,10.63,02/01/2025
ALBAHACA,ALBAHACA,3.08,3.85,3.39,02/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,5.5,6.5,6.13,02/01/2025
APIO,APIO,1.67,2.67,2.17,02/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),5.0,6.0,5.5,02/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,4.5,5.3,4.9,02/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4.0,5.6,4.9,02/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),0.8,1.33,1.0,02/01/2025
CAIGUA,CAIGUA (SELVA),2.0,2.33,2.17,02/01/2025
CALABAZA,CALABAZA (CRIOLLA/SERRANA),1.25,1.75,1.5,02/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.7,0.8,0.75,02/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.2,1.5,1.35,02/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,0.7,1.0,0.85,02/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,0.9,1.1,1.0,02/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),1.0,1.5,1.2,02/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.71,0.91,0.84,02/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),0.57,0.71,0.66,02/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),3.33,4.0,3.58,02/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,2.38,2.86,2.56,02/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,6.0,8.0,6.75,02/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),2.0,2.5,2.2,02/01/2025
FREJOL,FREJOL VERDE CANARIO,2.0,2.4,2.23,02/01/2025
HABA,HABA VERDE SERRANA,0.8,1.1,0.95,02/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),1.18,1.41,1.24,02/01/2025
HORTALIZAS CHINAS,JOLANTAU/ORGANICA,9.0,11.0,9.75,02/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,2.5,3.33,2.81,02/01/2025
HORTALIZAS CHINAS,PACCHOY,5.0,6.67,6.04,02/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),6.0,7.0,6.63,02/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,2.5,2.5,2.5,02/01/2025
HORTALIZAS CHINAS,BROCOLI,2.0,2.5,2.25,02/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),1.3,1.74,1.59,02/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),1.67,2.0,1.79,02/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,3.0,3.33,3.17,02/01/2025
LECHUGA,LECHUGA SERRANA SEDA,2.67,3.33,3.08,02/01/2025
LECHUGA,LECHUGA ROMANA/HIDROF./BLANCA/ROJA/ORG,1.33,1.67,1.54,02/01/2025
LENTEJA,LENTEJA-VERDE/CORRIENTE,2.5,3.0,2.83,02/01/2025
LENTEJA,LENTEJA-VERDE BOCONA/SARANDAJA,3.0,3.0,3.0,02/01/2025
LIMON,LIMON CITRICO CAJON,2.17,2.83,2.5,02/01/2025
LIMON,LIMON CITRICO BOLSA,2.22,2.89,2.56,02/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,2.1,2.5,2.28,02/01/2025
MAIZ,MARLO/CORONTA DE MAIZ MORADO,10.0,12.0,11.25,02/01/2025
NABO,NABO (CRIOLLO/SERRANO),2.0,2.5,2.3,02/01/2025
OREGANO,OREGANO (CRIOLLO/SERRANO),10.0,10.0,10.0,02/01/2025
OREGANO,OREGANO SECO,11.0,14.0,12.5,02/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),2.0,2.4,2.23,02/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),1.9,2.2,2.05,02/01/2025
PALLAR,PALLAR VERDE SERRUCHO/CACHITO,1.8,2.2,1.98,02/01/2025
PAPA,PAPA AMARILLA,2.0,2.2,2.08,02/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,0.8,1.0,0.89,02/01/2025
PAPA,PAPA COLOR/VALLE/OTROS,0.55,0.6,0.58,02/01/2025
PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.8,2.0,1.9,02/01/2025
PAPA,PAPA HUAMANTANGA,1.7,1.9,1.8,02/01/2025
PAPA,PAPA NEGRA ANDINA,1.0,1.2,1.1,02/01/2025
PAPA,PAPA PERUANITA (INJERTO),1.8,2.0,1.93,02/01/2025
PAPA,PAPA YUNGAY,0.8,1.0,0.89,02/01/2025
PAPA,PAPA UNICA,0.55,0.65,0.59,02/01/2025
PAPA,PAPA CANCHAN,0.5,0.6,0.55,02/01/2025
PEPINILLO,PEPINILLO,1.5,1.83,1.63,02/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),1.5,2.0,1.75,02/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,3.33,3.5,3.37,02/01/2025
PORO,PORO (CRIOLLO/SERRANO),0.88,1.15,1.01,02/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),2.67,4.0,3.33,02/01/2025
TOMATE,TOMATE CHERRY,4.0,5.0,4.43,02/01/2025
TOMATE,TOMATE ORGANICO,3.0,3.0,3.0,02/01/2025
TOMATE,TOMATE KATIA,2.5,2.95,2.67,02/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,2.5,3.5,2.95,02/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),2.0,2.4,2.23,02/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),0.45,0.64,0.56,02/01/2025
ZAPALLO,ZAPALLO ITALIANO,1.0,1.33,1.15,02/01/2025
ZAPALLO,ZAPALLO LOCHE,6.67,9.33,8.17,02/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),1.0,1.3,1.18,02/01/2025
OTROS PROD.AGRIC.,AJONJOLI,10.0,12.0,11.0,02/01/2025
OTROS PROD.AGRIC.,ACHIOTE,10.0,12.0,11.33,02/01/2025
OTROS PROD.AGRIC.,HIERBA LUISA,1.5,1.67,1.56,02/01/2025
OTROS PROD.AGRIC.,MANZANILLA,4.0,6.0,4.93,02/01/2025
OTROS PROD.AGRIC.,ANIS FRESCO/VERDE (CRIOLLA/SERRANA),7.5,7.5,7.5,02/01/2025
OTROS PROD.AGRIC.,ROMERO,9.0,10.0,9.67,02/01/2025
OTROS PROD.AGRIC.,TORONJIL,5.0,6.0,5.33,02/01/2025
OTROS PROD.AGRIC.,MENTA,7.5,7.5,7.5,02/01/2025
OTROS PROD.AGRIC.,HINOJO SIN FRUTO,2.86,2.86,2.86,02/01/2025
OTROS PROD.AGRIC.,CEDRON,7.0,7.5,7.33,02/01/2025
OTROS PROD.AGRIC.,ALFALFA,1.12,1.32,1.21,02/01/2025
OTROS PROD.AGRIC.,YACON,2.5,2.5,2.5,02/01/2025
OTROS PROD.AGRIC.,AGUAYMANTO,5.5,6.5,6.0,02/01/2025
OTROS PROD.AGRIC.,CHAMPI?ONES,4.0,5.0,4.75,02/01/2025
OTROS PROD.AGRIC.,ACEITUNA,18.0,24.0,21.0,02/01/2025
CARAMBOLA,CARAMBOLA,2.5,2.5,2.5,02/01/2025
DURAZNO,DURAZNO,3.5,4.0,3.75,02/01/2025
FRESA,FRESA ROJA,2.5,3.0,2.75,02/01/2025
GRANADILLA,GRANADILLA (SELVA),4.0,5.0,4.63,02/01/2025
PEPINO,PEPINO RAYADO O MELON,2.0,2.2,2.08,02/01/2025
PERA,PERA DE AGUA,6.0,7.0,6.38,02/01/2025
PLATANOS,PLATANOS SEDA,2.5,2.5,2.5,02/01/2025
PLATANOS,PLATANOS ISLA,3.0,3.0,3.0,02/01/2025
PLATANOS,PLATANOS BISCOCHITO,2.5,2.5,2.5,02/01/2025
PLATANOS,PLATANOS BELLACO,4.0,4.5,4.33,02/01/2025
PLATANOS,PLATANOS PALILLO,3.5,3.5,3.5,02/01/2025
UVA,UVA BORGO?A NEGRA,5.0,6.0,5.38,02/01/2025
UVA,UVA ITALIA,5.0,6.0,5.63,02/01/2025
MANGO,MANGO CRIOLLO PLANTA(COSTA),2.5,2.5,2.5,02/01/2025
MANGO,MANGO HADEN/HAYDE,2.5,2.5,2.5,02/01/2025
MANGO,MANGO KENT(COSTA),2.5,2.6,2.53,02/01/2025
MANGO,MANGO EDWARD PLANTA,2.5,2.5,2.5,02/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.0,3.5,3.33,02/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,2.0,2.5,2.3,02/01/2025
MANZANA,MANZANA ISRAEL,3.3,3.5,3.45,02/01/2025
MANZANA,MANZANA CHILENA ROJA,7.5,9.0,8.25,02/01/2025
MANZANA,MANZANA CHILENA VERDE,7.0,9.0,7.88,02/01/2025
MANZANA,MANZANA CHILENA FUJI,7.5,9.0,8.17,02/01/2025
MANZANA,MANZANA CHILENA ROYAL,7.5,9.0,8.13,02/01/2025
MANZANA,MANZANA GOLDEN,3.5,4.5,3.88,02/01/2025
MARACUYA,MARACUYA (COSTA),3.3,3.8,3.55,02/01/2025
TUNA,TUNA HUAROCHIRI,4.0,5.0,4.63,02/01/2025
SANDIA,SANDIA,1.3,1.5,1.4,02/01/2025
COCONA,COCONA SELVA,2.5,2.5,2.5,02/01/2025
NARANJA,NARANJA VALENCIA (SELVA),1.23,1.45,1.33,02/01/2025
NARANJA,NARANJA HUANDO,5.0,6.0,5.5,02/01/2025
PI?A,PI?A HAWAYANA,2.3,2.5,2.4,02/01/2025
PI?A,PI?A GOLDEN,1.94,2.22,2.07,02/01/2025
PALTA,PALTA FUERTE (COSTA),5.0,7.0,5.88,02/01/2025
PAPAYA,PAPAYA SELVA,1.25,1.38,1.28,02/01/2025
MELOCOTON,MELOCOTON,6.0,8.0,6.75,02/01/2025
MEMBRILLO,MEMBRILLO,3.5,4.5,4.0,02/01/2025
OTRAS FRUTAS,TAMARINDO(CON CASCARA)COSTA,5.5,7.0,6.13,02/01/2025
OTRAS FRUTAS,GRANADA (COSTA),5.0,6.0,5.5,02/01/2025
OTRAS FRUTAS,LIMA DULCE (COSTA),1.8,2.0,1.9,02/01/2025
OTRAS FRUTAS,LUCUMA,6.0,7.0,6.5,02/01/2025
OTRAS FRUTAS,CIRUELA,4.0,5.0,4.67,02/01/2025
OTRAS FRUTAS,PITAHAYA,6.0,9.0,7.5,02/01/2025
OTRAS FRUTAS,PACAY,5.0,7.0,6.0,02/01/2025
OTRAS FRUTAS,ARANDANOS,8.0,10.0,9.0,02/01/2025
COCO,COCO(COSTA/SELVA),1.67,1.67,1.67,02/01/2025
CHIRIMOYA,CHIRIMOYA CUMBE,6.0,7.0,6.5,02/01/2025
MANDARINA,MANDARINA,4.3,4.8,4.53,02/01/2025
MELON,MELON,2.5,2.8,2.6,02/01/2025
GUANABANA,GUANABANA,6.0,7.0,6.5,02/01/2025
ACELGA,ACELGA,3.0,3.5,3.25,03/01/2025
AJI,AJI AMARILLO SECO,15.0,16.0,15.63,03/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,3.0,3.3,3.18,03/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),3.0,4.0,3.38,03/01/2025
AJI,AJI SECO PANCA,14.5,16.0,15.38,03/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),1.67,2.22,2.01,03/01/2025
AJI,AJI PAPRIKA,13.0,15.0,14.0,03/01/2025
AJO,AJO PELADO,7.5,8.0,7.75,03/01/2025
AJO,AJO CRIOLLO O NAPURI,8.5,9.0,8.75,03/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,10.0,11.0,10.63,03/01/2025
ALBAHACA,ALBAHACA,3.85,4.62,4.24,03/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,5.75,7.0,6.31,03/01/2025
APIO,APIO,2.0,2.67,2.33,03/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),5.0,6.0,5.5,03/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,4.5,5.3,4.9,03/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4.0,5.6,4.9,03/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),1.33,1.73,1.5,03/01/2025
CAIGUA,CAIGUA (SELVA),2.0,2.33,2.25,03/01/2025
CALABAZA,CALABAZA (CRIOLLA/SERRANA),1.25,1.75,1.5,03/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.7,0.8,0.75,03/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.4,1.8,1.55,03/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,0.8,1.0,0.93,03/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,0.8,1.1,0.95,03/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),1.3,2.0,1.58,03/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.86,1.0,0.92,03/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),0.71,0.86,0.79,03/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),3.33,4.0,3.67,03/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,2.86,3.1,2.98,03/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,6.0,8.0,6.75,03/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),2.5,3.0,2.75,03/01/2025
FREJOL,FREJOL VERDE CANARIO,2.0,2.4,2.23,03/01/2025
HABA,HABA VERDE SERRANA,0.7,1.1,0.93,03/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),1.18,1.41,1.24,03/01/2025
HORTALIZAS CHINAS,JOLANTAU/ORGANICA,9.0,11.0,9.75,03/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,2.5,3.33,3.02,03/01/2025
