Producto,Variedad,Volumen (TM),Fecha
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),89,21/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),8,21/01/2025
PALLAR,PALLAR VERDE SERRUCHO/CACHITO,2,21/01/2025
PAPA,PAPA AMARILLA,129,21/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1725,21/01/2025
PAPA,PAPA COLOR/VALLE/OTROS,66,21/01/2025
PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,23,21/01/2025
PAPA,PAPA YUNGAY,231,21/01/2025
PAPA,PAPA UNICA,227,21/01/2025
PAPA,PAPA CANCHAN,275,21/01/2025
PEPINILLO,PEPINILLO,185,21/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),40,21/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,31,21/01/2025
PORO,PORO (CRIOLLO/SERRANO),37,21/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),12,21/01/2025
TOMATE,TOMATE KATIA,430,21/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,124,21/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),149,21/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),486,21/01/2025
ZAPALLO,ZAPALLO ITALIANO,26,21/01/2025
ZAPALLO,ZAPALLO LOCHE,1,21/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),96,21/01/2025
OTROS PROD.AGRIC.,VINAGRE,1,21/01/2025
OTROS PROD.AGRIC.,HIERBA LUISA,1,21/01/2025
OTROS PROD.AGRIC.,MANZANILLA,1,21/01/2025
OTROS PROD.AGRIC.,ALFALFA,35,21/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,10,21/01/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,4,21/01/2025
CARAMBOLA,CARAMBOLA,1,21/01/2025
FRESA,FRESA ROJA,5,21/01/2025
PLATANOS,PLATANOS SEDA,20,21/01/2025
PLATANOS,PLATANOS ISLA,15,21/01/2025
PLATANOS,PLATANOS BISCOCHITO,2,21/01/2025
PLATANOS,PLATANOS BELLACO,24,21/01/2025
UVA,UVA BORGOÑA NEGRA,2,21/01/2025
MANGO,MANGO EDWARD PLANTA,3,21/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),2,21/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,106,21/01/2025
MANZANA,MANZANA CHILENA ROYAL,1,21/01/2025
MARACUYA,MARACUYA (COSTA),257,21/01/2025
SANDIA,SANDIA,8,21/01/2025
COCONA,COCONA SELVA,0,21/01/2025
NARANJA,NARANJA VALENCIA (SELVA),7,21/01/2025
PIÑA,PIÑA HAWAYANA,0,21/01/2025
PIÑA,PIÑA GOLDEN,16,21/01/2025
PALTA,PALTA HALL (COSTA),0,21/01/2025
PALTA,PALTA FUERTE (COSTA),12,21/01/2025
PAPAYA,PAPAYA SELVA,17,21/01/2025
OTRAS FRUTAS,LUCUMA,2,21/01/2025
MANDARINA,MANDARINA,32,21/01/2025
MELON,MELON,1,21/01/2025
ACELGA,ACELGA,1,22/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,51,22/01/2025
AJI,AJI SECO PANCA,10,22/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),86,22/01/2025
AJO,AJO PELADO,23,22/01/2025
AJO,AJO CRIOLLO O NAPURI,120,22/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,4,22/01/2025
ALBAHACA,ALBAHACA,20,22/01/2025
APIO,APIO,87,22/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),63,22/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,48,22/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),2,22/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),67,22/01/2025
CAIGUA,CAIGUA (SELVA),1,22/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,353,22/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,32,22/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,350,22/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),13,22/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),24,22/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),8,22/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),37,22/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,415,22/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,22/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),122,22/01/2025
FREJOL,FREJOL VERDE CANARIO,16,22/01/2025
HABA,HABA VERDE SERRANA,86,22/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,7,22/01/2025
HORTALIZAS CHINAS,PACCHOY,3,22/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),35,22/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,14,22/01/2025
HORTALIZAS CHINAS,BROCOLI,72,22/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),16,22/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),143,22/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,15,22/01/2025
LECHUGA,LECHUGA SERRANA SEDA,6,22/01/2025
LIMON,LIMON CITRICO BOLSA,3,22/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,82,22/01/2025
NABO,NABO (CRIOLLO/SERRANO),9,22/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),29,22/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),26,22/01/2025
PAPA,PAPA AMARILLA,94,22/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1337,22/01/2025
PAPA,PAPA COLOR/VALLE/OTROS,105,22/01/2025
PAPA,PAPA UNICA,75,22/01/2025
PAPA,PAPA CANCHAN,15,22/01/2025
PEPINILLO,PEPINILLO,226,22/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),20,22/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,17,22/01/2025
PORO,PORO (CRIOLLO/SERRANO),35,22/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),14,22/01/2025
TOMATE,TOMATE ORGANICO,0,22/01/2025
TOMATE,TOMATE KATIA,435,22/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,95,22/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),144,22/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),421,22/01/2025
ZAPALLO,ZAPALLO ITALIANO,29,22/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),106,22/01/2025
OTROS PROD.AGRIC.,ALFALFA,37,22/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,12,22/01/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,7,22/01/2025
CARAMBOLA,CARAMBOLA,16,22/01/2025
FRESA,FRESA ROJA,2,22/01/2025
PLATANOS,PLATANOS SEDA,10,22/01/2025
PLATANOS,PLATANOS ISLA,9,22/01/2025
PLATANOS,PLATANOS BELLACO,3,22/01/2025
UVA,UVA BORGOÑA NEGRA,2,22/01/2025
MANGO,MANGO EDWARD PLANTA,10,22/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),30,22/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,2,22/01/2025
MARACUYA,MARACUYA (COSTA),191,22/01/2025
SANDIA,SANDIA,56,22/01/2025
NARANJA,NARANJA VALENCIA (SELVA),7,22/01/2025
PIÑA,PIÑA HAWAYANA,3,22/01/2025
PIÑA,PIÑA GOLDEN,11,22/01/2025
PALTA,PALTA HALL (COSTA),1,22/01/2025
PALTA,PALTA FUERTE (COSTA),25,22/01/2025
PAPAYA,PAPAYA SELVA,7,22/01/2025
MEMBRILLO,MEMBRILLO,1,22/01/2025
COCO,COCO(COSTA/SELVA),2,22/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,171,23/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),2,23/01/2025
AJI,AJI SECO PANCA,13,23/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),136,23/01/2025
AJO,AJO PELADO,29,23/01/2025
AJO,AJO CRIOLLO O NAPURI,68,23/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,10,23/01/2025
ALBAHACA,ALBAHACA,17,23/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,0,23/01/2025
APIO,APIO,96,23/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),22,23/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,133,23/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),2,23/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),75,23/01/2025
CAIGUA,CAIGUA (SELVA),5,23/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,416,23/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,26,23/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,84,23/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,1385,23/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),17,23/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),28,23/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),40,23/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,600,23/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,1,23/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),171,23/01/2025
HABA,HABA VERDE SERRANA,81,23/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),8,23/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,15,23/01/2025
HORTALIZAS CHINAS,PACCHOY,2,23/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),65,23/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,16,23/01/2025
HORTALIZAS CHINAS,BROCOLI,76,23/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),10,23/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),185,23/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,1,23/01/2025
LIMON,LIMON CITRICO CAJON,29,23/01/2025
LIMON,LIMON CITRICO BOLSA,965,23/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,146,23/01/2025
NABO,NABO (CRIOLLO/SERRANO),18,23/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),44,23/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),15,23/01/2025
PAPA,PAPA AMARILLA,41,23/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1370,23/01/2025
PAPA,PAPA YUNGAY,496,23/01/2025
PAPA,PAPA UNICA,142,23/01/2025
PAPA,PAPA CANCHAN,34,23/01/2025
PEPINILLO,PEPINILLO,173,23/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),33,23/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,89,23/01/2025
PORO,PORO (CRIOLLO/SERRANO),35,23/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),15,23/01/2025
TOMATE,TOMATE CHERRY,1,23/01/2025
TOMATE,TOMATE ORGANICO,58,23/01/2025
TOMATE,TOMATE KATIA,312,23/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,59,23/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),172,23/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),513,23/01/2025
ZAPALLO,ZAPALLO ITALIANO,15,23/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),170,23/01/2025
OTROS PROD.AGRIC.,AJONJOLI,0,23/01/2025
OTROS PROD.AGRIC.,MANZANILLA,2,23/01/2025
OTROS PROD.AGRIC.,ALFALFA,41,23/01/2025
OTROS PROD.AGRIC.,YOGUR,1,23/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,4,23/01/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,1,23/01/2025
FRESA,FRESA ROJA,9,23/01/2025
PLATANOS,PLATANOS SEDA,24,23/01/2025
PLATANOS,PLATANOS ISLA,7,23/01/2025
PLATANOS,PLATANOS BELLACO,25,23/01/2025
PLATANOS,PLATANOS PALILLO,2,23/01/2025
UVA,UVA BORGOÑA NEGRA,1,23/01/2025
UVA,UVA ITALIA,6,23/01/2025
MANGO,MANGO EDWARD PLANTA,7,23/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),13,23/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,39,23/01/2025
MANZANA,MANZANA GOLDEN,11,23/01/2025
MARACUYA,MARACUYA (COSTA),251,23/01/2025
SANDIA,SANDIA,2,23/01/2025
NARANJA,NARANJA VALENCIA (SELVA),10,23/01/2025
PIÑA,PIÑA HAWAYANA,2,23/01/2025
PIÑA,PIÑA GOLDEN,16,23/01/2025
PALTA,PALTA FUERTE (COSTA),34,23/01/2025
PAPAYA,PAPAYA SELVA,13,23/01/2025
MEMBRILLO,MEMBRILLO,1,23/01/2025
MANDARINA,MANDARINA,14,23/01/2025
MELON,MELON,4,23/01/2025
ACELGA,ACELGA,16,24/01/2025
AJI,AJI AMARILLO SECO,52,24/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,101,24/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),1,24/01/2025
AJI,AJI SECO PANCA,5,24/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),92,24/01/2025
AJO,AJO PELADO,36,24/01/2025
AJO,AJO CRIOLLO O NAPURI,30,24/01/2025
ALBAHACA,ALBAHACA,25,24/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,6,24/01/2025
APIO,APIO,112,24/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),91,24/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,68,24/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),7,24/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),60,24/01/2025
CAIGUA,CAIGUA (SELVA),2,24/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,274,24/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,23,24/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,43,24/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,140,24/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),24,24/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),37,24/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),23,24/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),31,24/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,544,24/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,4,24/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),150,24/01/2025
HABA,HABA VERDE SERRANA,77,24/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),5,24/01/2025
HORTALIZAS CHINAS,JOLANTAU/ORGANICA,1,24/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,17,24/01/2025
HORTALIZAS CHINAS,PACCHOY,3,24/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),28,24/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,10,24/01/2025
HORTALIZAS CHINAS,BROCOLI,76,24/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),16,24/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),176,24/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,19,24/01/2025
LIMON,LIMON CITRICO CAJON,25,24/01/2025
LIMON,LIMON CITRICO BOLSA,475,24/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,155,24/01/2025
NABO,NABO (CRIOLLO/SERRANO),26,24/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),79,24/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),18,24/01/2025
PAPA,PAPA AMARILLA,54,24/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1732,24/01/2025
PAPA,PAPA YUNGAY,378,24/01/2025
PAPA,PAPA UNICA,218,24/01/2025
PAPA,PAPA CANCHAN,62,24/01/2025
PEPINILLO,PEPINILLO,207,24/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),24,24/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,93,24/01/2025
PORO,PORO (CRIOLLO/SERRANO),25,24/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),9,24/01/2025
TOMATE,TOMATE ORGANICO,4,24/01/2025
TOMATE,TOMATE KATIA,285,24/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,105,24/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),162,24/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),437,24/01/2025
ZAPALLO,ZAPALLO ITALIANO,38,24/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),68,24/01/2025
OTROS PROD.AGRIC.,MANZANILLA,2,24/01/2025
OTROS PROD.AGRIC.,ALFALFA,32,24/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,12,24/01/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,1,24/01/2025
CARAMBOLA,CARAMBOLA,2,24/01/2025
FRESA,FRESA ROJA,3,24/01/2025
PLATANOS,PLATANOS SEDA,18,24/01/2025
PLATANOS,PLATANOS ISLA,2,24/01/2025
PLATANOS,PLATANOS BELLACO,18,24/01/2025
UVA,UVA ITALIA,1,24/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),6,24/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,104,24/01/2025
MARACUYA,MARACUYA (COSTA),219,24/01/2025
SANDIA,SANDIA,20,24/01/2025
NARANJA,NARANJA VALENCIA (SELVA),18,24/01/2025
PIÑA,PIÑA HAWAYANA,1,24/01/2025
PIÑA,PIÑA GOLDEN,19,24/01/2025
PALTA,PALTA FUERTE (COSTA),11,24/01/2025
PAPAYA,PAPAYA SELVA,20,24/01/2025
MEMBRILLO,MEMBRILLO,7,24/01/2025
MANDARINA,MANDARINA,15,24/01/2025
AJI,AJI AMARILLO SECO,65,25/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,66,25/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),2,25/01/2025
AJI,AJI SECO PANCA,3,25/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),104,25/01/2025
AJO,AJO PELADO,23,25/01/2025
AJO,AJO CRIOLLO O NAPURI,156,25/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,52,25/01/2025
ALBAHACA,ALBAHACA,27,25/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,2,25/01/2025
APIO,APIO,101,25/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),164,25/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,54,25/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),3,25/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),57,25/01/2025
CAIGUA,CAIGUA (SELVA),1,25/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,270,25/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,117,25/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,32,25/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,945,25/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),34,25/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),39,25/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),56,25/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),37,25/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,780,25/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,2,25/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),165,25/01/2025
HABA,HABA VERDE SERRANA,111,25/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),3,25/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,16,25/01/2025
HORTALIZAS CHINAS,PACCHOY,3,25/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),35,25/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,18,25/01/2025
HORTALIZAS CHINAS,BROCOLI,77,25/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),15,25/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),197,25/01/2025
LECHUGA,LECHUGA CRIOLLA SEDA,20,25/01/2025
LIMON,LIMON CITRICO CAJON,150,25/01/2025
LIMON,LIMON CITRICO BOLSA,822,25/01/2025
MAIZ,MAIZ MORADO FRESC/MOJAD/SARASO/SECO,186,25/01/2025
NABO,NABO (CRIOLLO/SERRANO),24,25/01/2025
OLLUCO,OLLUCO LARGO (SIN LAVAR/LAVADO),26,25/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),14,25/01/2025
PAPA,PAPA AMARILLA,101,25/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,1919,25/01/2025
PAPA,PAPA YUNGAY,168,25/01/2025
PAPA,PAPA UNICA,140,25/01/2025
PAPA,PAPA CANCHAN,85,25/01/2025
PEPINILLO,PEPINILLO,247,25/01/2025
PEREJIL,PEREJIL NACIONAL(CRIOLLO/SERRANO),34,25/01/2025
PIMIENTO,PIMIENTO MORRON/INJERTO/RANGER,59,25/01/2025
PORO,PORO (CRIOLLO/SERRANO),39,25/01/2025
RABANITO,RABANITO (CRIOLLO/SERRANO),13,25/01/2025
TOMATE,TOMATE KATIA,396,25/01/2025
VAINITA,VAINITA AMERICANA/SEDA/PITO/CORRIENT/MAD,92,25/01/2025
YUCA,YUCA AMARILLA/LEGITIMO (COSTA/SELVA),126,25/01/2025
ZANAHORIA,ZANAHORIA (CRIOLLA/SERRANA),512,25/01/2025
ZAPALLO,ZAPALLO ITALIANO,15,25/01/2025
ZAPALLO,ZAPALLO LOCHE,4,25/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),181,25/01/2025
OTROS PROD.AGRIC.,HIERBA LUISA,1,25/01/2025
OTROS PROD.AGRIC.,ALFALFA,40,25/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,5,25/01/2025
OTROS PROD.AGRIC.,CHAMPIÑONES,1,25/01/2025
OTROS PROD.AGRIC.,ACEITUNA,1,25/01/2025
CARAMBOLA,CARAMBOLA,7,25/01/2025
DURAZNO,DURAZNO,1,25/01/2025
FRESA,FRESA ROJA,4,25/01/2025
PEPINO,PEPINO RAYADO O MELON,14,25/01/2025
PLATANOS,PLATANOS SEDA,35,25/01/2025
PLATANOS,PLATANOS ISLA,1,25/01/2025
PLATANOS,PLATANOS BELLACO,33,25/01/2025
PLATANOS,PLATANOS PALILLO,1,25/01/2025
UVA,UVA BORGOÑA NEGRA,1,25/01/2025
UVA,UVA ITALIA,3,25/01/2025
MANGO,MANGO EDWARD PLANTA,12,25/01/2025
MANZANA,MANZANA DELICIA(COSTA/SIERRA),14,25/01/2025
MANZANA,MANZANA CORRIENTE PARA AGUA,13,25/01/2025
MANZANA,MANZANA CHILENA VERDE,2,25/01/2025
MARACUYA,MARACUYA (COSTA),235,25/01/2025
TUNA,TUNA HUAROCHIRI,1,25/01/2025
SANDIA,SANDIA,0,25/01/2025
NARANJA,NARANJA VALENCIA (SELVA),7,25/01/2025
NARANJA,NARANJA HUANDO,1,25/01/2025
PIÑA,PIÑA HAWAYANA,1,25/01/2025
PIÑA,PIÑA GOLDEN,15,25/01/2025
PALTA,PALTA FUERTE (COSTA),24,25/01/2025
PAPAYA,PAPAYA SELVA,12,25/01/2025
COCO,COCO(COSTA/SELVA),6,25/01/2025
MANDARINA,MANDARINA,24,25/01/2025
MELON,MELON,1,25/01/2025
AJI,AJI AMARILLO SECO,8,26/01/2025
AJI,AJI SECO PANCA,10,26/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),31,26/01/2025
AJO,AJO PELADO,11,26/01/2025
AJO,AJO CRIOLLO O NAPURI,13,26/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,2,26/01/2025
ALBAHACA,ALBAHACA,17,26/01/2025
APIO,APIO,64,26/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),172,26/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,17,26/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),1,26/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),35,26/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,265,26/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,5,26/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,1478,26/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),23,26/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),10,26/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),33,26/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),41,26/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,478,26/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,0,26/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),130,26/01/2025
HABA,HABA VERDE SERRANA,74,26/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),2,26/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,3,26/01/2025
HORTALIZAS CHINAS,PACCHOY,1,26/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),40,26/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,11,26/01/2025
HORTALIZAS CHINAS,BROCOLI,85,26/01/2025
HUACATAY,HUACATAY (CRIOLLO/SERRANO),12,26/01/2025
